group_id,quarter_issue_date_dt,Treated,Count,Post,log_Count
A61M,2015-06-30,0,3,1,1.0986122886681098
A61M,2015-06-30,1,1,1,0.0
A61M,2015-09-30,0,8,1,2.0794415416798357
A61M,2015-09-30,1,1,1,0.0
A61M,2015-12-31,0,6,1,1.791759469228055
A61M,2016-03-31,0,7,1,1.9459101490553132
A61M,2016-03-31,1,2,1,0.6931471805599453
A61M,2016-06-30,0,3,1,1.0986122886681098
A61M,2016-06-30,1,1,1,0.0
A61M,2016-09-30,0,3,1,1.0986122886681098
A61M,2016-12-31,0,6,1,1.791759469228055
A61M,2016-12-31,1,1,1,0.0
A61N,2012-03-31,0,4,0,1.3862943611198906
A61N,2012-06-30,0,3,0,1.0986122886681098
A61N,2012-12-31,0,4,0,1.3862943611198906
A61N,2013-03-31,0,4,0,1.3862943611198906
A61N,2013-03-31,1,1,0,0.0
A61N,2013-06-30,0,1,0,0.0
A61N,2013-09-30,0,2,0,0.6931471805599453
A61N,2013-09-30,1,2,0,0.6931471805599453
A61N,2013-12-31,0,5,0,1.6094379124341003
A61N,2014-03-31,0,7,0,1.9459101490553132
A61N,2014-03-31,1,2,0,0.6931471805599453
A61N,2014-06-30,0,4,1,1.3862943611198906
A61N,2014-06-30,1,1,1,0.0
A61N,2014-09-30,0,7,1,1.9459101490553132
A61N,2014-09-30,1,2,1,0.6931471805599453
A61N,2014-12-31,0,9,1,2.1972245773362196
A61N,2015-03-31,0,3,1,1.0986122886681098
A61N,2015-06-30,0,5,1,1.6094379124341003
A61N,2015-06-30,1,2,1,0.6931471805599453
A61N,2015-09-30,0,4,1,1.3862943611198906
A61N,2015-12-31,0,6,1,1.791759469228055
A61N,2016-03-31,0,8,1,2.0794415416798357
A61N,2016-03-31,1,1,1,0.0
A61N,2016-06-30,0,4,1,1.3862943611198906
A61N,2016-09-30,0,6,1,1.791759469228055
A61N,2016-09-30,1,1,1,0.0
A61N,2016-12-31,0,6,1,1.791759469228055
A61P,2012-06-30,1,1,0,0.0
A61P,2015-06-30,1,1,1,0.0
A61Q,2014-09-30,0,1,1,0.0
A62B,2014-03-31,0,1,0,0.0
A62C,2014-06-30,1,1,1,0.0
A62C,2014-09-30,0,1,1,0.0
A62C,2015-12-31,0,1,1,0.0
A62C,2016-09-30,0,1,1,0.0
A63B,2012-03-31,0,6,0,1.791759469228055
A63B,2012-06-30,0,3,0,1.0986122886681098
A63B,2012-06-30,1,1,0,0.0
A63B,2012-09-30,0,3,0,1.0986122886681098
A63B,2012-09-30,1,3,0,1.0986122886681098
A63B,2012-12-31,0,2,0,0.6931471805599453
A63B,2012-12-31,1,3,0,1.0986122886681098
A63B,2013-03-31,0,3,0,1.0986122886681098
A63B,2013-06-30,0,4,0,1.3862943611198906
A63B,2013-06-30,1,2,0,0.6931471805599453
A63B,2013-09-30,0,6,0,1.791759469228055
A63B,2013-09-30,1,2,0,0.6931471805599453
A63B,2013-12-31,0,9,0,2.1972245773362196
A63B,2014-03-31,0,5,0,1.6094379124341003
A63B,2014-03-31,1,2,0,0.6931471805599453
A63B,2014-06-30,0,7,1,1.9459101490553132
A63B,2014-09-30,0,11,1,2.3978952727983707
A63B,2014-09-30,1,4,1,1.3862943611198906
A63B,2014-12-31,0,12,1,2.4849066497880004
A63B,2014-12-31,1,2,1,0.6931471805599453
A63B,2015-03-31,0,8,1,2.0794415416798357
A63B,2015-03-31,1,3,1,1.0986122886681098
A63B,2015-06-30,0,6,1,1.791759469228055
A63B,2015-06-30,1,1,1,0.0
A63B,2015-09-30,0,11,1,2.3978952727983707
A63B,2015-12-31,0,8,1,2.0794415416798357
A63B,2015-12-31,1,2,1,0.6931471805599453
A63B,2016-03-31,0,11,1,2.3978952727983707
A63B,2016-03-31,1,3,1,1.0986122886681098
A63B,2016-06-30,0,19,1,2.9444389791664403
A63B,2016-06-30,1,3,1,1.0986122886681098
A63B,2016-09-30,0,19,1,2.9444389791664403
A63B,2016-09-30,1,4,1,1.3862943611198906
A63B,2016-12-31,0,13,1,2.5649493574615367
A63B,2016-12-31,1,4,1,1.3862943611198906
A63C,2016-03-31,0,1,1,0.0
A63C,2016-06-30,0,1,1,0.0
A63C,2016-12-31,0,1,1,0.0
A63D,2012-06-30,0,2,0,0.6931471805599453
A63D,2012-09-30,0,1,0,0.0
A63D,2014-06-30,0,1,1,0.0
A63F,2012-03-31,0,149,0,5.003946305945459
A63F,2012-03-31,1,30,0,3.4011973816621555
